count,num_features,pct,cumul_pct
0,69,0.2041903409090909,0.2041903409090909
1,415,1.2281013257575757,1.4322916666666665
2,198,0.5859375,2.018229166666667
3,56,0.16571969696969696,2.1839488636363638
4,55,0.16276041666666669,2.3467092803030303
5,60,0.17755681818181818,2.5242660984848486
6,35,0.10357481060606061,2.627840909090909
7,49,0.14500473484848486,2.772845643939394
8,46,0.13612689393939395,2.908972537878788
9,39,0.11541193181818182,3.0243844696969697
10,36,0.1065340909090909,3.1309185606060606
11,41,0.12133049242424243,3.252249053030303
12,38,0.11245265151515152,3.3647017045454546
13,31,0.09173768939393939,3.4564393939393936
14,31,0.09173768939393939,3.5481770833333335
15,31,0.09173768939393939,3.639914772727273
16,15,0.044389204545454544,3.684303977272727
17,45,0.13316761363636362,3.8174715909090913
18,114,0.33735795454545453,4.154829545454546
19,125,0.3699100378787879,4.524739583333334
20,114,0.33735795454545453,4.862097537878788
21,114,0.33735795454545453,5.199455492424242
22,94,0.2781723484848485,5.477627840909091
23,105,0.3107244318181818,5.7883522727272725
24,82,0.24266098484848486,6.031013257575758
25,84,0.24857954545454544,6.279592803030303
26,89,0.26337594696969696,6.54296875
27,108,0.31960227272727276,6.8625710227272725
28,78,0.23082386363636365,7.093394886363637
29,76,0.22490530303030304,7.3183001893939394
30,68,0.2012310606060606,7.51953125
31,81,0.23970170454545456,7.759232954545454
32,75,0.22194602272727273,7.9811789772727275
33,82,0.24266098484848486,8.223839962121213
34,92,0.2722537878787879,8.49609375
35,73,0.2160274621212121,8.712121212121213
36,70,0.20714962121212122,8.919270833333332
37,81,0.23970170454545456,9.158972537878787
38,61,0.18051609848484848,9.339488636363637
39,62,0.18347537878787878,9.522964015151516
40,44,0.13020833333333331,9.653172348484848
41,68,0.2012310606060606,9.854403409090908
42,75,0.22194602272727273,10.076349431818182
43,60,0.17755681818181818,10.25390625
44,63,0.1864346590909091,10.440340909090908
45,68,0.2012310606060606,10.641571969696969
46,82,0.24266098484848486,10.884232954545455
47,61,0.18051609848484848,11.064749053030303
48,67,0.1982717803030303,11.263020833333332
49,52,0.15388257575757575,11.416903409090908
50,66,0.1953125,11.612215909090908
51,55,0.16276041666666669,11.774976325757576
52,58,0.17163825757575757,11.946614583333332
53,49,0.14500473484848486,12.091619318181818
54,37,0.1094933712121212,12.20111268939394
55,57,0.16867897727272727,12.369791666666668
56,59,0.17459753787878787,12.544389204545455
57,36,0.1065340909090909,12.650923295454545
58,48,0.14204545454545456,12.79296875
59,57,0.16867897727272727,12.961647727272727
60,60,0.17755681818181818,13.139204545454545
61,52,0.15388257575757575,13.293087121212121
62,63,0.1864346590909091,13.479521780303031
63,54,0.15980113636363638,13.639322916666666
64,42,0.12428977272727272,13.76361268939394
65,53,0.15684185606060605,13.920454545454545
66,49,0.14500473484848486,14.065459280303031
67,43,0.12724905303030304,14.192708333333334
68,50,0.14796401515151514,14.340672348484848
69,37,0.1094933712121212,14.450165719696969
70,40,0.11837121212121213,14.568536931818182
71,36,0.1065340909090909,14.675071022727273
72,44,0.13020833333333331,14.805279356060606
73,36,0.1065340909090909,14.911813446969695
74,32,0.0946969696969697,15.006510416666666
75,40,0.11837121212121213,15.124881628787879
76,40,0.11837121212121213,15.243252840909092
77,34,0.1006155303030303,15.343868371212121
78,26,0.07694128787878787,15.420809659090908
79,44,0.13020833333333331,15.551017992424242
80,32,0.0946969696969697,15.645714962121213
81,34,0.1006155303030303,15.746330492424242
